kurs_id,kurskod,namn,poang_hp,avdelning
1,AI180U,Juridisk översiktskurs,15.0,AIJ
2,AI188U,Marknadsanalys och marknadsföring,7.5,AIJ
3,AI183U,Husbyggnadsteknik,7.5,AIJ
4,AI184U,Fastighetsförmedling introduktion,15.0,AIJ
5,AI190U,Fastighetsvärdering för fastighetsmäklare,7.5,AIE
6,AI192U,Allmän fastighetsrätt,7.5,AIJ
7,AI191U,Bostadsrätt för fastighetsmäklare,7.5,AIE
8,Fastighetsförmedling - kommunikation,7.5,Okänd
9,AI181U,Extern redovisning för fastighetsmäklare,7.5,AIJ
10,AI185U,Ekonomistyrning för fastighetsmäklare,7.5,AIJ
11,AI186U,Beskattningsrätt för fastighetsmäklare,7.5,AIE
12,AI182U,Speciell fastighetsrätt för fastighetsförmedlare,7.5,AIE
13,AI189U,Kvalificerad fastighetsmäklarjuridik,7.5,AIE
14,AI187U,Arbetsmarknad och företagande,7.5,AIE
15,AI107U,Examensarbete,15.0,AF